S_No,Company_name,Website,Sector,Country,Source,Updated_at,Active,No_of_employees
115,"Authlete, Inc.",https://www.authlete.com,"Cybersecurity, Developer Tools",Japan,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
116,"AutoFi, Inc.",https://www.autofi.com,Credit & Lending,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
117,Autopass Inc.,https://en.autopass.xyz,Payments,Taiwan,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
118,Avantcom International Sdn. Bhd.,https://argania.my,"Fashion, Social Impact",Malaysia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
119,Innovative Learning Kft,https://avatao.com,"Cybersecurity, Developer Tools",Hungary,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
120,Avatour Technologies Inc.,https://avatour.co,Developer Tools,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
121,Avegant Corp.,https://www.avegant.com,Content,Japan,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
122,Avidbots Corp.,https://avidbots.com,Real Estate,Canada,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
123,Avify LLC,https://avify.com,SME Solution,Costa Rica,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
124,AVIONETA Global LLC,https://avioneta.org,"App, Health Tech, Impact, Subscription, Wellness, Healthcare, Social Impact",Mexico,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
125,"Avision, Inc.",https://avision.io,"Aviation, Robotics, Mobility",United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
126,Aviva Holdings Limited,https://www.avivacredito.com,FinTech,Mexico,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
127,"AvoMD, Inc.",https://www.avomd.io,Healthcare,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
128,Awatar Innovations Sdn. Bhd.,,,MALAYSIA,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
129,"Awfar, Inc.",https://solutions.awfar.com,"AI/Machine Learning, SaaS, CRM",Egypt,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
130,"Awork App, Inc.",https://awork.ge,HR Tech,Georgia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
131,Artwallstreet Pte. Ltd.,https://www.awst.io,Blockchain,Singapore,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
132,Grupo Axendco SAPI de CV,https://axend.io,FinTech,Mexico,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
133,"Veritas Mobile Holdings, Ltd.",https://www.ayannah.com,FinTech,Philippines,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
134,Ayenda Ltd.,https://ayenda.com,Travel & Tourism,Colombia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
135,BAANIA (THAILAND) COMPANY LIMITED,https://www.baania.com,Real Estate,Thailand,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
136,"Baby List, Inc.",https://www.babylist.com,Social Impact,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
137,"Principly, Inc.",https://backer.com,Education,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
138,Backstartup S.A.P.I. de C.V.,https://www.backstartup.com,SME Solution,Colombia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
139,BALAD CORP,https://balad.me,,UNITED STATES,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
140,"Balloonr, Inc.",https://getballoon.com,Productivity,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
141,BANIQL CORP.,https://baniql.com,"Climate Tech, Sustainability",South Korea,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
142,Istidamat Albarakah Technology Holding Limited,https://barakah.app,"Food, Impact",Saudi Arabia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
143,Bariendo Inc.,https://www.bariendo.com,Health Tech,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
144,Barn & Willow Inc.,https://barnandwillow.com,Real Estate,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
145,BasharSoft LLC,https://basharsoft.com,HR Tech,Egypt,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
146,BBP Holding Ltd,https://www.baubap.com,FinTech,Mexico,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
147,BayaPay Sdn Bhd,https://www.bayapay.com,Payments,Malaysia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
148,"Baycon, Inc.",https://www.baycon.co.kr,"Telecommunications, B2B Marketplaces, Commerce",South Korea,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
149,"BDG Media, Inc.",https://www.bdg.com,"Fashion, Entertainment / Media",United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
150,Beatdapp Software Inc.,https://beatdapp.com,"Entertainment / Media, Social Media",Canada,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
151,Beaubble,https://beaubble.com/home,Beauty,South Korea,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
152,"Brazil B2Beauty, Ltd.",https://beautydate.com.br,"Beauty, Marketplace",Vietnam,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
153,Beervana International Limited,https://beervana.asia,"Food, Consumer",Thailand,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
154,Behja Holdings Limited,https://www.behja.co,Real Estate,Saudi Arabia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
155,Being Global Sdn Bhd,https://www.beingjuice.com,,Malaysia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
156,Solusi Bengkel Digital Pte. Ltd.,https://belanjaparts.com,"Automotive, Ecommerce, Marketplace",Indonesia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
157,Scinapsis Analytics Inc,https://www.benchsci.com,BioTech & Life Sciences,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
158,"Nabfly, Inc.",https://www.bespokepost.com,Fashion,Slovenia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
159,"BESUCCESS, INC.",https://besuccess.com,Consumer,South Korea,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
160,Simplemarket Inc.,https://www.betastore.co,"CPG (Consumer packaged goods), Retail, B2B Marketplaces",Nigeria,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
161,"BetterView Marketplace, Inc.",https://www.betterview.com,Aviation,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
162,Bilimber Pte. Ltd.,https://bilimber.com,Developer Tools,Kazakhstan,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
163,"BILLIONTOONE, INC.",https://billiontoone.com,"BioTech & Life Sciences, Health Tech",United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
164,Qapital Berhad,https://www.billplz.com,FinTech,Malaysia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
165,BillTrim Inc.,https://www.billtrim.com,FinTech,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
166,Bitacora LLC,https://www.bitacora.io,"Productivity, SaaS",Mexico,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
167,Digitasport Holdings Limited,https://bith.ai,"Content, Creative Industry, Creator Economy",Jordan,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
168,"BitPowr Technologies, Inc.",https://bitpowr.com,"Blockchain, Crypto, FinTech, Web 3",United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
169,Airfill Hodling AB,https://www.bitrefill.com,Payments,Sweden,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
170,Blassa Inc.,https://www.blassa.io,Supply Chain,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
171,"TECH FOR GOOD, LLC",https://www.blaucorp.com,"AI/Machine Learning, CleanTech, B2B Marketplaces",Mexico,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
